Symbol,Date,Close
JPM,5/7/2019,113.21
JPM,5/8/2019,112.61
JPM,5/9/2019,112.52
JPM,5/10/2019,112.51
JPM,5/13/2019,109.45
JPM,5/14/2019,110.32
JPM,5/15/2019,109.9
JPM,5/16/2019,111.31
JPM,5/17/2019,110.77
JPM,5/20/2019,111.35
JPM,5/21/2019,111.73
JPM,5/22/2019,110.82
JPM,5/23/2019,108.64
JPM,5/24/2019,109.71
JPM,5/28/2019,108.52
JPM,5/29/2019,108.22
JPM,5/30/2019,107.06
JPM,5/31/2019,105.96
JPM,6/3/2019,106.46
JPM,6/4/2019,109.74
JPM,6/5/2019,110.13
JPM,6/6/2019,110.37
JPM,6/7/2019,109.16
JPM,6/10/2019,110.34
JPM,6/11/2019,110.68
JPM,6/12/2019,109.27
JPM,6/13/2019,109.54
JPM,6/14/2019,109.82
JPM,6/17/2019,109.22
JPM,6/18/2019,110.71
JPM,6/19/2019,109.91
JPM,6/20/2019,110.19
JPM,6/21/2019,109.44
JPM,6/24/2019,108.66
JPM,6/25/2019,107.76
JPM,6/26/2019,108.48
JPM,6/27/2019,108.84
JPM,6/28/2019,111.8
JPM,7/1/2019,113.68
JPM,7/2/2019,113.8
JPM,7/3/2019,112.82
JPM,7/5/2019,113.49
JPM,7/8/2019,112.87
JPM,7/9/2019,113.35
JPM,7/10/2019,113.02
JPM,7/11/2019,114.1
JPM,7/12/2019,115.3
JPM,7/15/2019,113.9
JPM,7/16/2019,115.12
JPM,7/17/2019,113.99
JPM,7/18/2019,114.67
JPM,7/19/2019,113.54
JPM,7/22/2019,114.27
JPM,7/23/2019,116.36
JPM,7/24/2019,116.83
JPM,7/25/2019,115.71
JPM,7/26/2019,116.22
JPM,7/29/2019,115.85
JPM,7/30/2019,115.59
JPM,7/31/2019,116
JPM,8/1/2019,112.94
JPM,8/2/2019,112.93
JPM,8/5/2019,109.57
JPM,8/6/2019,110.43
JPM,8/7/2019,108.03
JPM,8/8/2019,109.86
JPM,8/9/2019,109.74
JPM,8/12/2019,107.68
JPM,8/13/2019,109.34
JPM,8/14/2019,104.8
JPM,8/15/2019,105.2
JPM,8/16/2019,107.72
JPM,8/19/2019,108.69
JPM,8/20/2019,107.31
JPM,8/21/2019,107.61
JPM,8/22/2019,108.72
JPM,8/23/2019,106.02
JPM,8/26/2019,106.87
JPM,8/27/2019,105.74
JPM,8/28/2019,106.8
JPM,8/29/2019,109.22
JPM,8/30/2019,109.86
JPM,9/3/2019,108.56
JPM,9/4/2019,109.87
JPM,9/5/2019,112.37
JPM,9/6/2019,112.61
JPM,9/9/2019,115.4
JPM,9/10/2019,116.87
JPM,9/11/2019,117.19
JPM,9/12/2019,117.91
JPM,9/13/2019,120.23
JPM,9/16/2019,119.16
JPM,9/17/2019,118.57
JPM,9/18/2019,119.76
JPM,9/19/2019,119.38
JPM,9/20/2019,118.9
JPM,9/23/2019,118.88
JPM,9/24/2019,117.33
JPM,9/25/2019,118
JPM,9/26/2019,117.03
JPM,9/27/2019,117.72
JPM,9/30/2019,117.69
JPM,10/1/2019,115.55
JPM,10/2/2019,113.25
JPM,10/3/2019,112.19
JPM,10/4/2019,114.62
JPM,10/7/2019,114.37
JPM,10/8/2019,111.82
JPM,10/9/2019,112.63
JPM,10/10/2019,114.21
JPM,10/11/2019,116.14
JPM,10/14/2019,116.45
JPM,10/15/2019,119.96
JPM,10/16/2019,119.68
JPM,10/17/2019,120.35
JPM,10/18/2019,120.56
JPM,10/21/2019,123.55
JPM,10/22/2019,124.79
JPM,10/23/2019,125.12
JPM,10/24/2019,125.03
JPM,10/25/2019,126.03
JPM,10/28/2019,126.51
JPM,10/29/2019,126.43
JPM,10/30/2019,125.73
JPM,10/31/2019,124.92
JPM,11/1/2019,127.8
JPM,11/4/2019,128.82
JPM,11/5/2019,129.1
JPM,11/6/2019,129.3
JPM,11/7/2019,129.3
JPM,11/8/2019,130.38
JPM,11/11/2019,129.92
JPM,11/12/2019,129.16
JPM,11/13/2019,128.48
JPM,11/14/2019,128.6
JPM,11/15/2019,129.53
JPM,11/18/2019,130.62
JPM,11/19/2019,130.58
JPM,11/20/2019,129.63
JPM,11/21/2019,129.93
JPM,11/22/2019,130.79
JPM,11/25/2019,131.49
JPM,11/26/2019,131.67
JPM,11/27/2019,132.06
JPM,11/29/2019,131.76
JPM,12/2/2019,131.47
JPM,12/3/2019,129.78
JPM,12/4/2019,132.34
JPM,12/5/2019,133.06
JPM,12/6/2019,135.04
JPM,12/9/2019,134.41
JPM,12/10/2019,134.5
JPM,12/11/2019,134.18
JPM,12/12/2019,138.02
JPM,12/13/2019,136.81
JPM,12/16/2019,137.34
JPM,12/17/2019,138.18
JPM,12/18/2019,138.04
JPM,12/19/2019,137.35
JPM,12/20/2019,137.24
JPM,12/23/2019,137.2
JPM,12/24/2019,137.58
JPM,12/26/2019,139.04
JPM,12/27/2019,139.14
JPM,12/30/2019,138.63
